Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2002:Q3,pct20to40,2835356,3481749,1401640,356296,166781,664962,252204,639866,646393,367441,270208,8744
2002:Q3,pct00to20,1261562,1530546,685056,183808,108492,159636,108056,285498,268984,132783,123532,12669
2002:Q4,pct99to100,7719898,8243434,1807330,415771,1871146,575772,1518782,2054633,523536,408402,55140,59994
2002:Q4,pct80to99,19159481,22747898,6665633,1257619,3070582,5680430,2330410,3743224,3588417,2795096,588401,204920
2002:Q4,pct60to80,7947329,9962773,3389603,781397,716028,2894054,545732,1635959,2015444,1462797,535475,17172
2002:Q4,pct40to60,4466242,5758142,2117026,536626,421128,1420303,336494,926566,1291900,844863,415065,31972
2002:Q4,pct20to40,2891276,3559995,1428471,352776,169598,656485,268574,684091,668719,383208,277366,8145
2002:Q4,pct00to20,1409219,1684714,712917,182016,113802,155572,209800,310607,275495,136762,125561,13172
2003:Q1,pct99to100,7836635,8379988,1919666,432493,1776774,580668,1602159,2068228,543353,424814,50563,67976
2003:Q1,pct80to99,19187782,22849920,6846548,1250970,2865339,5701133,2389673,3796256,3662138,2857621,592720,211797
2003:Q1,pct60to80,8002091,10056496,3463298,788337,670002,2937963,563320,1633576,2054406,1509326,528498,16582
2003:Q1,pct40to60,4508561,5831050,2166027,541457,408964,1443114,340184,931304,1322489,876801,413400,32288
2003:Q1,pct20to40,2847005,3524027,1419584,350443,156949,653667,261410,681974,677023,397613,271774,7636
2003:Q1,pct00to20,1372517,1657371,685327,185892,110200,154127,212110,309715,284854,139156,132167,13531
2003:Q2,pct99to100,8561595,9173920,2013300,448671,2274145,620365,1670307,2147131,612324,446699,47622,118003
2003:Q2,pct80to99,19724098,23561970,6998390,1257035,3270392,5777661,2374800,3883693,3837872,2962422,603857,271593
2003:Q2,pct60to80,8376417,10500265,3549017,802007,774464,3127107,594403,1653266,2123848,1572189,537939,13720
