Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2002:Q3,ageunder40,3449335,6092906,2637955,769250,470697,849661,491851,873493,2643571,1825672,802447,15452
2002:Q4,age70plus,9455910,9805018,2794747,515976,1403973,1490689,889271,2710361,349108,188144,95975,64989
2002:Q4,age55to69,15608315,17113538,4424698,939949,2380122,4344618,2023183,3000968,1505222,1052505,304713,148004
2002:Q4,age40to54,15093156,18882891,6196723,1303907,2096539,4691620,1835915,2758187,3789736,2902568,779423,107745
2002:Q4,ageunder40,3436065,6155510,2704811,766373,481650,855689,461422,885565,2719445,1887910,816897,14638
2003:Q1,age70plus,9510755,9869585,2893770,535268,1307121,1512725,908302,2712399,358831,186902,99710,72219
2003:Q1,age55to69,15809363,17370252,4553775,952409,2255511,4492933,2059193,3056430,1560889,1091904,311684,157301
2003:Q1,age40to54,14989490,18845624,6289358,1290666,1980501,4629660,1899758,2755681,3856134,2980042,770183,105909
2003:Q1,ageunder40,3444983,6213392,2763548,771250,445095,835355,501604,896541,2768409,1946484,807547,14378
2003:Q2,age70plus,9892329,10305930,2954261,544370,1544362,1564469,912902,2785566,413600,199396,106624,107580
2003:Q2,age55to69,16573538,18245899,4710562,969387,2681816,4669627,2082944,3131563,1672361,1149037,324584,198740
2003:Q2,age40to54,15564486,19552244,6399589,1297541,2342187,4769320,1950466,2793141,3987758,3093092,774158,120508
2003:Q2,ageunder40,3545455,6400851,2834865,774796,498771,871244,529865,891311,2855396,2021974,816565,16857
2003:Q3,age70plus,10018748,10459167,2961491,558245,1626071,1591864,918123,2803372,440418,227840,114380,98198
2003:Q3,age55to69,17085965,18814070,4905475,995176,2861572,4814887,2106065,3130895,1728105,1200956,335859,191290
2003:Q3,age40to54,15750751,19848287,6534105,1305574,2483802,4769211,2008105,2747490,4097536,3205690,780382,111464
2003:Q3,ageunder40,3587292,6505451,2911020,771876,508072,865359,559506,889618,2918158,2073377,829053,15728
2003:Q4,age70plus,10490425,10930913,3002773,568214,1823260,1646136,917045,2973485,440489,225078,121799,93612
2003:Q4,age55to69,17862995,19657140,5111352,1018103,3236342,4995408,2118710,3177226,1794145,1251381,351737,191027
2003:Q4,age40to54,16322184,20512476,6678493,1317453,2790544,4890081,2043835,2792070,4190292,3292178,787241,110873
2003:Q4,ageunder40,3645488,6653351,2955925,773895,544114,896696,585504,897217,3007863,2146237,842155,19471
2004:Q1,age70plus,11060324,11520267,3111919,590087,1912347,1703426,935422,3267066,459943,233161,125487,101295
2004:Q1,age55to69,19000515,20853436,5335414,1044309,3437563,5193950,2155196,3687003,1852922,1292761,357911,202250
2004:Q1,age40to54,16863947,21123230,6886193,1322053,2947088,4889536,2112695,2965665,4259283,3370221,778753,110309
2004:Q1,ageunder40,3803778,6851292,3110085,781309,551576,895381,630289,882652,3047514,2193557,834321,19636
2004:Q2,age70plus,11065517,11561157,3124339,604631,1867867,1752698,967129,3244492,495639,255418,131092,109129
2004:Q2,age55to69,19417032,21353041,5601163,1076841,3417981,5376010,2228960,3652086,1936008,1354615,367918,213475
2004:Q2,age40to54,17041410,21418704,7099829,1336348,2919237,4879617,2254940,2928733,4377294,3489215,778324,109755
2004:Q2,ageunder40,3872674,6990507,3223143,777291,527078,891188,691615,880192,3117833,2260992,837205,19636
2004:Q3,age70plus,11334211,11840850,3268193,623659,1851225,1808323,998204,3291246,506640,263933,138934,103773
2004:Q3,age55to69,20070899,22078407,5856110,1094605,3438013,5589079,2316104,3784497,2007508,1413818,384372,209318
2004:Q3,age40to54,17280828,21760364,7332448,1327653,2934858,4812432,2406251,2946721,4479535,3594134,788126,97275
2004:Q3,ageunder40,3904028,7107832,3316325,781920,509237,880286,756810,863253,3203804,2333519,853444,16841
2004:Q4,age70plus,11808164,12349482,3353647,616568,2025490,1861630,1029189,3462959,541318,277509,137822,125987
2004:Q4,age55to69,20868907,23005410,6091281,1126888,3755672,5757572,2414019,3859978,2136503,1502021,401919,232563
2004:Q4,age40to54,17962605,22542602,7549878,1353616,3134159,5026265,2484093,2994590,4579997,3669772,803888,106337
2004:Q4,ageunder40,4164838,7468833,3485890,801099,547006,934286,772225,928327,3303995,2409848,876491,17656
2005:Q1,age70plus,11863132,12367062,3473026,617288,2035818,1859660,1049153,3332116,503929,245161,129423,129345
