Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2017:Q4,Top1,30151363,30924673,3999900,788472,12934850,1802276,5808580,5590595,773310,504199,77392,191719
2017:Q4,Next9,37291097,40036093,8142754,1069723,8705804,12299724,3383010,6435078,2744996,2242091,282780,220125
2017:Q4,Next40,28457335,34874597,11655337,2228436,2865051,11127885,1456090,5541798,6417262,4860928,1371023,185311
2017:Q4,Bottom50,1385335,6078580,3041112,1212989,173751,701701,153608,795419,4693245,2321574,2099557,272114
2018:Q1,Top1,30509297,31289279,4111656,781763,12899448,1782592,5889933,5823887,779982,506893,77936,195153
2018:Q1,Next9,37753636,40528737,8319088,1088079,8705922,12334208,3338019,6743421,2775101,2282771,276809,215521
2018:Q1,Next40,28749422,35174702,11981651,2255288,2852716,11145462,1487053,5452533,6425280,4873054,1359051,193175
2018:Q1,Bottom50,1429455,6116935,3062968,1229007,169611,702634,150284,802430,4687479,2303232,2106078,278169
2018:Q2,Top1,30809945,31592965,4128106,775858,13101541,1755444,5978328,5853687,783020,511061,74009,197950
2018:Q2,Next9,38419427,41228614,8459978,1112488,8847077,12482141,3535300,6791630,2809187,2331330,276024,201833
2018:Q2,Next40,28983837,35469364,12081715,2279880,2877055,11243130,1489764,5497821,6485528,4903181,1373986,208361
2018:Q2,Bottom50,1559909,6281779,3188721,1247447,168538,719411,159889,797773,4721869,2302270,2134137,285462
2018:Q3,Top1,31483531,32271606,4164723,771619,13696121,1709568,6016784,5912790,788075,515573,71577,200925
2018:Q3,Next9,39133533,41981672,8572246,1136384,9226173,12721791,3454789,6870289,2848139,2377343,276850,193946
2018:Q3,Next40,29454481,36008324,12219322,2291562,2969909,11408268,1535546,5583717,6553843,4941067,1400431,212345
2018:Q3,Bottom50,1612737,6395450,3259349,1261849,172544,751831,159314,790563,4782712,2309152,2185723,287837
2018:Q4,Top1,29698416,30491768,4205374,744563,11642093,1708996,6038902,6151840,793352,518842,66762,207748
2018:Q4,Next9,37820190,40670160,8620053,1160715,8015121,12313612,3477981,7082678,2849970,2413262,278382,158326
2018:Q4,Next40,29016933,35642903,12382769,2335228,2620095,11091396,1562511,5650904,6625970,4966867,1429593,229510
2018:Q4,Bottom50,1554596,6381642,3299301,1272198,141965,698914,164219,805045,4827046,2304944,2232305,289797
2019:Q1,Top1,31854967,32659308,4323289,762666,13695000,1681210,6096530,6100613,804341,520915,68159,215267
2019:Q1,Next9,39920792,42770483,8800675,1168317,9272197,12819204,3581918,7128172,2849691,2436813,272458,140420
2019:Q1,Next40,30273932,36897700,12647515,2349259,2954741,11468882,1568344,5908960,6623768,4983305,1416429,224034
2019:Q1,Bottom50,1628882,6441829,3239029,1297062,164713,753172,168691,819161,4812946,2292611,2237423,282912
2019:Q2,Top1,32506958,33309303,4347773,762741,14182666,1654495,6164665,6196962,802344,524667,64788,212889
2019:Q2,Next9,40914706,43796859,8948454,1188421,9592429,13068129,3794825,7204601,2882152,2464727,273010,144415
2019:Q2,Next40,30694936,37397868,12744305,2375526,3033689,11652875,1564547,6026925,6702931,5023964,1438546,240421
2019:Q2,Bottom50,1710005,6586244,3334088,1318922,167063,773924,178956,813290,4876239,2303512,2275703,297024
2019:Q3,Top1,32409350,33219336,4324392,738938,14085279,1620151,6234137,6216439,809985,529044,63183,217758
2019:Q3,Next9,41292983,44205340,9014226,1228791,9570315,13209343,3945903,7236762,2912356,2505745,273301,133310
2019:Q3,Next40,30849780,37620102,12804034,2395181,3026160,11760334,1570188,6064205,6770322,5064685,1462096,243541
2019:Q3,Bottom50,1843781,6780518,3514891,1329267,161859,782620,185851,806030,4936738,2313405,2325569,297764
2019:Q4,Top1,33850630,34655708,4347457,741982,15221832,1589816,6327067,6427554,805078,532027,60602,212449
2019:Q4,Next9,42545194,45499732,9103583,1249136,10258535,13560412,3843354,7484711,2954538,2530954,278134,145450
2019:Q4,Next40,31639472,38474664,12930369,2399252,3224639,12026294,1618431,6275679,6835191,5089135,1491345,254711
2019:Q4,Bottom50,1963811,6964017,3611675,1340172,176517,817631,181359,836664,5000207,2329037,2362110,309060
2020:Q1,Top1,30796168,31601212,4454404,722071,11674649,1604763,6403649,6741676,805044,534321,65368,205355
2020:Q1,Next9,40105253,43094077,9254960,1249147,8149856,12889025,3886078,7665011,2988824,2558122,273511,157191
2020:Q1,Next40,31079274,37931116,13270437,2444031,2668255,11538842,1626840,6382710,6851842,5105398,1466189,280255
2020:Q1,Bottom50,1860571,6876142,3644558,1343465,131314,718419,180881,857506,5015571,2343726,2342754,329091
2020:Q2,Top1,33960108,34768858,4612921,729972,14381845,1581146,6498168,6964807,808750,536716,66519,205515
2020:Q2,Next9,42849427,45874618,9389694,1260822,9777592,13597202,3914509,7934799,3025190,2608129,269198,147863
2020:Q2,Next40,32866147,39698164,13730462,2420327,3124697,12073748,1654222,6694708,6832016,5114171,1444060,273785
2020:Q2,Bottom50,1971365,6973607,3586694,1349541,166138,787709,182945,900580,5002242,2363660,2317493,321089
2020:Q3,Top1,35708347,36509982,4727231,750032,15862334,1562495,6720084,6887806,801634,542273,66902,192459
2020:Q3,Next9,44209374,47355683,9579388,1303443,10653483,13973561,3878278,7967530,3146308,2669997,271213,205098
2020:Q3,Next40,33892090,40782963,14099932,2505624,3360213,12339495,1710750,6766949,6890873,5159334,1459357,272182
2020:Q3,Bottom50,2072424,7165540,3641093,1418678,185257,821547,178527,920439,5093116,2409093,2345210,338813
2020:Q4,Top1,38956645,39742782,4859511,765026,18342860,1546109,6928396,7300880,786136,547811,64262,174063
2020:Q4,Next9,46983414,50258338,9843585,1331890,12118921,14584944,4031487,8347511,3274924,2723037,274431,277456
2020:Q4,Next40,35406250,42377066,14537795,2532477,3753671,12789420,1737492,7026211,6970815,5204373,1478982,287460
2020:Q4,Bottom50,2274633,7458616,3748185,1451621,217331,877847,183464,980168,5183983,2444463,2367253,372267
2021:Q1,Top1,41100326,41882825,5047787,792915,19948856,1511561,7196004,7385703,782499,554291,64613,163595
2021:Q1,Next9,48575285,51988636,10206494,1361451,13071264,14818129,3996584,8534715,3413351,2799091,272148,342112
2021:Q1,Next40,36669429,43671975,15092207,2604172,4011102,12956857,1800844,7206794,7002546,5237024,1469118,296404
2021:Q1,Bottom50,2468258,7682259,3832500,1508538,238053,911672,177069,1014427,5214002,2451904,2361340,400758
2021:Q2,Top1,43405752,44191592,5125912,842181,21736771,1474761,7671127,7340840,785840,562755,62593,160492
2021:Q2,Next9,50645360,54135399,10745450,1428923,14121068,15247900,4056479,8535580,3490040,2854665,278991,356384
2021:Q2,Next40,37729116,44862901,15445272,2777375,4290323,13261465,1891840,7196627,7133786,5325032,1507952,300802
2021:Q2,Bottom50,2953403,8295943,4233031,1640437,261267,957875,171790,1031544,5342541,2524352,2410067,408122
2021:Q3,Top1,43940764,44737790,5146390,866772,21627876,1471563,8104478,7520711,797026,571211,63894,161921
2021:Q3,Next9,51389306,54918875,11267272,1475505,14061481,15296757,4197692,8620168,3529568,2907055,284251,338262
2021:Q3,Next40,38144762,45408892,15678920,2904598,4276188,13297676,1955287,7296223,7264130,5416578,1538147,309405
2021:Q3,Bottom50,3416454,8882393,4719899,1727198,259786,960923,169925,1044661,5465939,2602151,2456960,406828
