Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2020:Q1,SomeCollege,16847213,20102887,5817588,1371524,2139019,5555846,1722778,3496131,3255674,2027922,1125310,102442
2020:Q1,HS,11108013,13543543,4221733,1080610,1353555,3537487,1224725,2125433,2435530,1663684,649350,122496
2020:Q1,NoHS,2128160,2655474,1067774,286034,172565,566029,183931,379141,527314,332951,170050,24313
2020:Q2,College,79872622,89415036,20180880,3043289,22935499,17873621,9122351,16259397,9542414,6627644,2204409,710361
2020:Q2,SomeCollege,17986750,21193890,5851291,1349001,2592884,6054539,1718542,3627632,3207140,2008081,1097893,101166
2020:Q2,HS,11693179,14100613,4210503,1088344,1713014,3637720,1227246,2223787,2407435,1660631,632253,114551
2020:Q2,NoHS,2094497,2605707,1077097,280027,208875,473925,181705,384078,511210,326320,162717,22173
2020:Q3,College,83324137,93111602,20819495,3179558,25134261,18356201,9309338,16312749,9787465,6783068,2254143,750254
2020:Q3,SomeCollege,18447016,21674816,5897725,1381949,2803220,6241337,1745897,3604688,3227800,2001357,1094456,131987
2020:Q3,HS,12056374,14469708,4263442,1131597,1901030,3677930,1244077,2251632,2413334,1675993,634821,102520
2020:Q3,NoHS,2054708,2558041,1066981,284672,222777,421629,188328,373653,503333,320279,159263,23791
2020:Q4,College,89030542,99007786,21453329,3231342,28694884,18962787,9631883,17033561,9977245,6882808,2278128,816309
2020:Q4,SomeCollege,19635793,22910081,6047816,1393389,3221961,6660634,1780729,3805552,3274288,2010365,1101372,162551
2020:Q4,HS,12913376,15374815,4409574,1170097,2260859,3814179,1280358,2439748,2461439,1707686,647120,106633
2020:Q4,NoHS,2041231,2544118,1078356,286187,255079,360720,187869,375907,502887,318826,158306,25755
2021:Q1,College,92689197,102806506,22241626,3314533,30994845,19106718,9799402,17349381,10117309,6971238,2272538,873533
2021:Q1,SomeCollege,20550209,23857709,6241406,1438855,3506472,6920450,1857566,3892960,3307501,2015010,1095555,196936
2021:Q1,HS,13472299,15949289,4573533,1211124,2488081,3852634,1310662,2513256,2476991,1731170,641406,104415
2021:Q1,NoHS,2101594,2612192,1122422,302564,279877,318417,202870,386041,510598,324892,157720,27986
2021:Q2,College,96482414,106775353,22958102,3502010,33509125,19413557,10203919,17188640,10292939,7093212,2310708,889019
2021:Q2,SomeCollege,21855656,25256653,6565948,1550255,3845888,7337620,1993899,3963042,3400997,2071782,1126617,202598
2021:Q2,HS,14230862,16757076,4872001,1296403,2741886,3922101,1366185,2558499,2526214,1763946,657464,104804
2021:Q2,NoHS,2164698,2696754,1153612,340247,312530,268723,227232,394410,532056,337866,164813,29377
2021:Q3,College,97898645,108394163,23649280,3654393,33400285,19507382,10683849,17498974,10495518,7247049,2362652,885817
2021:Q3,SomeCollege,22257335,25698485,6845296,1616835,3804424,7335145,2094620,4002164,3441150,2112179,1144137,184834
2021:Q3,HS,14560836,17141452,5172358,1345845,2711973,3918699,1409758,2582819,2580616,1794673,668794,117149
2021:Q3,NoHS,2174470,2713849,1145546,357001,308650,265694,239156,397803,539379,343093,167669,28617
