Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2020:Q1,Black,4183460,5518588,1637189,387523,265335,2191632,247091,789817,1335128,724212,590587,20329
2020:Q1,Hispanic,2581847,3631240,1533035,381320,117342,958685,234972,405886,1049393,707887,310732,30774
2020:Q1,Other,9988647,12049458,3807574,479829,2081762,2409696,1127202,2143395,2060811,1457692,551914,51205
2020:Q2,White,93801405,105041116,24178499,4543029,24497943,22194894,10623691,19003060,11239711,7729644,2662019,848048
2020:Q2,Black,4519141,5840836,1662746,376749,315194,2386416,251415,848316,1321695,718381,582908,20406
2020:Q2,Hispanic,2658657,3697171,1563124,369481,133428,990927,238599,401612,1038514,704889,305374,28251
2020:Q2,Other,10667844,12736123,3915401,471402,2503707,2467568,1136139,2241906,2068279,1469761,546970,51548
2020:Q3,White,97436025,108905561,24721255,4714201,26858611,22722801,10895101,18993592,11469536,7860419,2693073,916044
2020:Q3,Black,4705953,6038014,1705528,392950,339672,2476550,253448,869867,1332061,721909,587564,22588
2020:Q3,Hispanic,2729862,3777825,1613911,385058,142104,1007875,228038,400839,1047963,712461,308310,27192
2020:Q3,Other,11010395,13092767,4006950,485568,2720900,2489872,1111053,2278425,2082373,1485908,553735,42730
2020:Q4,White,104025819,115732539,25385709,4810131,30797937,23570403,11202737,19965622,11706721,7966020,2719863,1020838
2020:Q4,Black,5009199,6356906,1774901,395007,383818,2641977,264280,896922,1347707,727030,592474,28203
2020:Q4,Hispanic,2874891,3940999,1698611,389343,158410,1049652,247901,397082,1066108,725014,312528,28566
2020:Q4,Other,11711034,13806356,4129853,486534,3092617,2536288,1165921,2395143,2095323,1501620,560062,33641
2021:Q1,White,108331666,120242749,26247117,4949869,33362779,23860017,11528607,20294361,11911083,8091423,2704584,1115076
2021:Q1,Black,5356236,6713203,1883199,417864,417747,2762113,272698,959583,1356967,724865,599738,32364
2021:Q1,Hispanic,3000567,4057512,1792103,400510,168253,1062180,234689,399777,1056944,719490,308643,28811
2021:Q1,Other,12124829,14212232,4256569,498833,3320497,2513908,1134507,2487918,2087403,1506532,554254,26617
2021:Q2,White,113144842,125273011,27106840,5252739,36176185,24402914,12124513,20209820,12128169,8230875,2759552,1137742
2021:Q2,Black,5752042,7150554,2047160,464117,452352,2912131,288571,986223,1398512,750930,613432,34150
2021:Q2,Hispanic,3199226,4289729,1959013,435984,179987,1090975,233302,390468,1090503,743808,317032,29663
2021:Q2,Other,12637520,14772542,4436651,536076,3600904,2535981,1144850,2518080,2135022,1541192,569585,24245
2021:Q3,White,114626900,126922572,27858060,5446056,35971941,24443119,12678147,20525249,12295673,8366278,2806810,1122585
2021:Q3,Black,5927830,7360134,2198203,494306,449974,2919188,305340,993123,1432304,774555,623163,34586
2021:Q3,Hispanic,3378092,4504634,2119375,465253,180213,1098008,245171,396614,1126542,769190,325928,31424
2021:Q3,Other,12958465,15160609,4636843,568459,3623204,2566604,1198724,2566775,2202144,1586972,587352,27820
